store_id,prod_id,pub_date,units_sold
2,13,2022-09-30 17:32:39+00:06,480
2,13,2022-10-31 17:32:39+00:07,420
2,13,2022-11-30 17:32:39+00:08,380
2,13,2022-12-31 17:32:39+00:09,600
2,13,2023-01-31 18:29:40+00:00,200
2,13,2023-02-28 18:30:36+00:00,100
3,13,2021-01-31 18:35:33+00:00,0
3,13,2021-02-28 18:35:33+00:01,0
3,13,2021-03-31 18:35:33+00:02,0
3,13,2021-04-30 18:35:33+00:03,0
3,13,2021-05-31 18:35:33+00:04,0
3,13,2021-06-30 18:35:33+00:05,0
3,13,2021-07-31 18:35:33+00:06,0
3,13,2021-08-31 18:35:33+00:07,0
3,13,2021-09-30 18:35:33+00:08,0
3,13,2021-10-31 18:35:33+00:09,0
3,13,2021-11-30 18:35:33+00:10,0
3,13,2021-12-31 18:35:33+00:11,0
3,13,2022-01-31 18:34:19+00:00,958
3,13,2022-02-28 18:34:40+00:00,842
3,13,2022-03-31 17:35:02+00:00,820
3,13,2022-04-30 17:32:39+00:01,765
3,13,2022-05-31 17:32:39+00:02,710
3,13,2022-06-30 17:32:39+00:03,620
3,13,2022-07-31 17:32:39+00:04,584
3,13,2022-08-31 17:32:39+00:05,540
3,13,2022-09-30 17:32:39+00:06,580
3,13,2022-10-31 17:32:39+00:07,546
3,13,2022-11-30 17:32:39+00:08,600
3,13,2022-12-31 17:32:39+00:09,562
3,13,2023-01-31 18:29:40+00:00,158
3,13,2023-02-28 18:30:36+00:00,120
1,12,2021-01-31 18:35:33+00:00,800
1,12,2021-02-28 18:35:33+00:01,830
1,12,2021-03-31 18:35:33+00:02,756
1,12,2021-04-30 18:35:33+00:03,600
1,12,2021-05-31 18:35:33+00:04,680
1,12,2021-06-30 18:35:33+00:05,690
1,12,2021-07-31 18:35:33+00:06,599
1,12,2021-08-31 18:35:33+00:07,610
1,12,2021-09-30 18:35:33+00:08,680
1,12,2021-10-31 18:35:33+00:09,589
1,12,2021-11-30 18:35:33+00:10,600
1,12,2021-12-31 18:35:33+00:11,500
1,12,2022-01-31 18:34:19+00:00,200
1,12,2022-02-28 18:34:40+00:00,150
1,12,2022-03-31 17:35:02+00:00,120
1,12,2022-04-30 17:32:39+00:01,90
1,12,2022-05-31 17:32:39+00:02,80
1,12,2022-06-30 17:32:39+00:03,75
1,12,2022-07-31 17:32:39+00:04,62
1,12,2022-08-31 17:32:39+00:05,42
1,12,2022-09-30 17:32:39+00:06,32
1,12,2022-10-31 17:32:39+00:07,20
1,12,2022-11-30 17:32:39+00:08,12
1,12,2022-12-31 17:32:39+00:09,10
1,12,2023-01-31 18:29:40+00:00,0
1,12,2023-02-28 18:30:36+00:00,0
2,12,2021-01-31 18:35:57+00:01,800
2,12,2021-02-28 18:35:57+00:00,830
2,12,2021-03-31 18:35:33+00:02,726
2,12,2021-04-30 18:35:33+00:03,680
2,12,2021-05-31 18:35:33+00:04,620
2,12,2021-06-30 18:35:33+00:05,640
2,12,2021-07-31 18:35:33+00:06,529
2,12,2021-08-31 18:35:33+00:07,600
2,12,2021-09-30 18:35:33+00:08,610
2,12,2021-10-31 18:35:33+00:09,599
2,12,2021-11-30 18:35:33+00:10,520
2,12,2021-12-31 18:35:33+00:11,620
2,12,2022-01-31 18:34:19+00:00,100
2,12,2022-02-28 18:34:40+00:00,80
2,12,2022-03-31 17:35:02+00:00,60
2,12,2022-04-30 17:32:39+00:01,45
2,12,2022-05-31 17:32:39+00:02,22
2,12,2022-06-30 17:32:39+00:03,11
2,12,2022-07-31 17:32:39+00:04,8
2,12,2022-08-31 17:32:39+00:05,9
2,12,2022-09-30 17:32:39+00:06,5
2,12,2022-10-31 17:32:39+00:07,0
2,12,2022-11-30 17:32:39+00:08,0
2,12,2022-12-31 17:32:39+00:09,0
2,12,2023-01-31 18:29:40+00:00,0
2,12,2023-02-28 18:30:36+00:00,0
3,12,2021-01-31 18:36:19+00:00,780
3,12,2021-03-31 18:35:33+00:02,800
3,12,2021-04-30 18:35:33+00:03,786
3,12,2021-05-31 18:35:33+00:04,700
3,12,2021-06-30 18:35:33+00:05,680
3,12,2021-07-31 18:35:33+00:06,520
3,12,2021-08-31 18:35:33+00:07,459
3,12,2021-09-30 18:35:33+00:08,420
3,12,2021-10-31 18:35:33+00:09,399
3,12,2021-11-30 18:35:33+00:10,382
3,12,2021-12-31 18:35:33+00:11,320
3,12,2022-01-31 18:34:19+00:00,200
3,12,2022-02-28 18:34:40+00:00,50
3,12,2022-03-31 17:35:02+00:00,20
3,12,2022-04-30 17:32:39+00:01,4
3,12,2022-05-31 17:32:39+00:02,0
3,12,2022-06-30 17:32:39+00:03,0
3,12,2022-07-31 17:32:39+00:04,0
3,12,2022-08-31 17:32:39+00:05,0
3,12,2022-09-30 17:32:39+00:06,0
3,12,2022-10-31 17:32:39+00:07,0
3,12,2022-11-30 17:32:39+00:08,0
3,12,2022-12-31 17:32:39+00:09,0
3,12,2023-01-31 18:29:40+00:00,0
3,12,2023-02-28 18:30:36+00:00,0
